genres_expanded_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,key,level_7,genres_albums
14356,2Rv7mglsywJ8EC30YMNw1v,spotify:track:2Rv7mglsywJ8EC30YMNw1v,This Is My Home,5FbBZ9ZLIoVdgbbnGmsKNk,Clem Leek,spotify:artist:5FbBZ9ZLIoVdgbbnGmsKNk,This Is My Home:Clem Leek,2,nu age
14357,0rRjGruFonCGOt0S5zAJNQ,spotify:track:0rRjGruFonCGOt0S5zAJNQ,The Other Side Of Paradise,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,The Other Side Of Paradise:Glass Animals,0,gauze pop
14358,0rRjGruFonCGOt0S5zAJNQ,spotify:track:0rRjGruFonCGOt0S5zAJNQ,The Other Side Of Paradise,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,The Other Side Of Paradise:Glass Animals,1,indietronica
14359,0rRjGruFonCGOt0S5zAJNQ,spotify:track:0rRjGruFonCGOt0S5zAJNQ,The Other Side Of Paradise,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,The Other Side Of Paradise:Glass Animals,2,shiver pop
14360,6356OPdyCg97sRoBnYyTwe,spotify:track:6356OPdyCg97sRoBnYyTwe,DFWM,3lfolnS8yn0VWK2FKM0hWs,Kayan,spotify:artist:3lfolnS8yn0VWK2FKM0hWs,DFWM:Kayan,0,genre not available
14361,6Jqk2PWC70GEBNmXwmTGHp,spotify:track:6Jqk2PWC70GEBNmXwmTGHp,Under My Skin,7vtSUU3zpHeYJfX6BPNrJd,Briston Maroney,spotify:artist:7vtSUU3zpHeYJfX6BPNrJd,Under My Skin:Briston Maroney,0,indie pop
14362,6Jqk2PWC70GEBNmXwmTGHp,spotify:track:6Jqk2PWC70GEBNmXwmTGHp,Under My Skin,7vtSUU3zpHeYJfX6BPNrJd,Briston Maroney,spotify:artist:7vtSUU3zpHeYJfX6BPNrJd,Under My Skin:Briston Maroney,1,modern rock
14363,6Jqk2PWC70GEBNmXwmTGHp,spotify:track:6Jqk2PWC70GEBNmXwmTGHp,Under My Skin,7vtSUU3zpHeYJfX6BPNrJd,Briston Maroney,spotify:artist:7vtSUU3zpHeYJfX6BPNrJd,Under My Skin:Briston Maroney,2,nashville indie
14364,5TKYJbmBhsII1Eilo1Pr1G,spotify:track:5TKYJbmBhsII1Eilo1Pr1G,"Where She Sleeps (""Before He Cheats"" Parody)",3hNRxHveKzuhnqzjtvoyoJ,Ginny Di,spotify:artist:3hNRxHveKzuhnqzjtvoyoJ,"Where She Sleeps (""Before He Cheats"" Parody):Ginny Di",0,fantasy
14365,6V7QyA9N0Zp7C6k8qsYfpm,spotify:track:6V7QyA9N0Zp7C6k8qsYfpm,Kahaan Ho Tum,0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Kahaan Ho Tum:Prateek Kuhad,0,desi pop
