podcast_id,episode,podcast,key
539,Bonus-U.S. Folklore: Gaslighting,Myths and Legends,Myths and LegendsBonus-U.S. Folklore: Gaslighting
540,"Pokémon Gym (from ""Pokémon Red & Blue"") - Lo-Fi Edit",Besso0,"Besso0Pokémon Gym (from ""Pokémon Red & Blue"") - Lo-Fi Edit"
541,144-Viking Legends: The Old Gods and the New,Myths and Legends,Myths and Legends144-Viking Legends: The Old Gods and the New
543,5B-Slavic Folklore: The First Horcrux,Myths and Legends,Myths and Legends5B-Slavic Folklore: The First Horcrux
544,A Second Embrace | With Cheryl Strayed,Modern Love,Modern LoveA Second Embrace | With Cheryl Strayed
545,10A-Hercules: Going into Labor,Myths and Legends,Myths and Legends10A-Hercules: Going into Labor
549,82A-Arabian Nights: I'll Most Likely Kill You in the Morning,Myths and Legends,Myths and Legends82A-Arabian Nights: I'll Most Likely Kill You in the Morning
550,54B-Gilgamesh: Huge,Myths and Legends,Myths and Legends54B-Gilgamesh: Huge
551,124-Greek Mythology: The Fall,Myths and Legends,Myths and Legends124-Greek Mythology: The Fall
552,41B-Lancelot: Promises to Keep,Myths and Legends,Myths and Legends41B-Lancelot: Promises to Keep
553,111-Thumbelina: Sweet Summer Child,Myths and Legends,Myths and Legends111-Thumbelina: Sweet Summer Child
555,103-Middle Eastern Folklore: Shipshape,Myths and Legends,Myths and Legends103-Middle Eastern Folklore: Shipshape
557,78-Egyptian Mythology: The Master Namer,Myths and Legends,Myths and Legends78-Egyptian Mythology: The Master Namer
558,"Separate Ways (Worlds Apart) [From ""Stranger Things Season 4 Trailer""]",Geek Music,"Geek MusicSeparate Ways (Worlds Apart) [From ""Stranger Things Season 4 Trailer""]"
559,125-Norse Mythology: Bound,Myths and Legends,Myths and Legends125-Norse Mythology: Bound
560,20-Korean Folklore: Prayers,Myths and Legends,Myths and Legends20-Korean Folklore: Prayers
561,106A-African Legends: Long Live the King,Myths and Legends,Myths and Legends106A-African Legends: Long Live the King
563,135C-Tristan and Isolde: Homecoming,Myths and Legends,Myths and Legends135C-Tristan and Isolde: Homecoming
565,3D-Vikings: Blood of the Dragon,Myths and Legends,Myths and Legends3D-Vikings: Blood of the Dragon
