id,track_uri,track_name,artist_id,artist_name,artist_uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key
0MXspt4hC8GiOAkunawmbu,spotify:track:0MXspt4hC8GiOAkunawmbu,Jee Len De,2oSONSC9zQ4UonDKnLqksx,Atif Aslam,spotify:artist:2oSONSC9zQ4UonDKnLqksx,0.527,0.701,0.407,0.0,0.118,-8.094,0.0265,109.965,0.305,Jee Len De:Atif Aslam
3W39UmDNcRbyra0knMzMo7,spotify:track:3W39UmDNcRbyra0knMzMo7,Blinding Lights,728y8xDi9WMeYqKeuYgDF0,Vendredi,spotify:artist:728y8xDi9WMeYqKeuYgDF0,0.946,0.354,0.322,3.15e-06,0.0983,-9.329,0.032,80.478,0.627,Blinding Lights:Vendredi
0lLBVkeTuZVfZRUC6MFfRf,spotify:track:0lLBVkeTuZVfZRUC6MFfRf,Hold On,2qmz9qPEFq5phZ8bscA2oL,George Alice,spotify:artist:2qmz9qPEFq5phZ8bscA2oL,0.921,0.43,0.42,3.14e-05,0.0807,-10.475,0.0381,149.999,0.252,Hold On:George Alice
3ydFRJUABULlXklU1M24TV,spotify:track:3ydFRJUABULlXklU1M24TV,Together,5czbzNZZfWpyFgZyfT3Mkk,SIDEPIECE,spotify:artist:5czbzNZZfWpyFgZyfT3Mkk,0.184,0.727,0.749,0.00666,0.105,-5.811,0.0327,125.056,0.466,Together:SIDEPIECE
2jppfWqd0NmoYK81irH7Gk,spotify:track:2jppfWqd0NmoYK81irH7Gk,Young & Alive,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl,0.326,0.716,0.563,0.0,0.119,-5.486,0.0426,86.005,0.494,Young & Alive:Bazzi
2pyjbGTpJCPjMYwCbdymiF,spotify:track:2pyjbGTpJCPjMYwCbdymiF,Dazed & Confused,5xkAtLTf309LAGZTbvULBn,Ruel,spotify:artist:5xkAtLTf309LAGZTbvULBn,0.102,0.688,0.5,0.0,0.355,-7.411,0.138,127.906,0.418,Dazed & Confused:Ruel
5bcTCxgc7xVfSaMV3RuVke,spotify:track:5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,0.0642,0.893,0.745,0.0,0.0943,-3.105,0.0571,101.018,0.872,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean):Calvin Harris"
7gLcI4Yo04xtE5xwSNX9Rc,spotify:track:7gLcI4Yo04xtE5xwSNX9Rc,Kyun,01pFDtbY3k5uOmy0Pbg93C,Rovalio,spotify:artist:01pFDtbY3k5uOmy0Pbg93C,0.148,0.435,0.462,0.0,0.114,-6.392,0.0285,79.995,0.0822,Kyun:Rovalio
5kdjC5zpkT4gUaS1pmrNsi,spotify:track:5kdjC5zpkT4gUaS1pmrNsi,Dancin (Remix),4lJG44O7lmQI4F5UAS7i8x,Whitte,spotify:artist:4lJG44O7lmQI4F5UAS7i8x,0.0897,0.891,0.569,0.149,0.13,-4.828,0.337,125.01,0.463,Dancin (Remix):Whitte
6ya8ejoKgw906Y8LWclqrp,spotify:track:6ya8ejoKgw906Y8LWclqrp,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,spotify:artist:0EeQBlQJFiAfJeVN2vT9s0,0.0825,0.671,0.833,0.0,0.0726,-5.152,0.395,79.351,0.702,Racks in the Middle (feat. Roddy Ricch and Hit-Boy):Nipsey Hussle
