tracks_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,album_id,album_name,album_uri,key
68,0FLmR0blAIztjE7YsQpoYc,spotify:track:0FLmR0blAIztjE7YsQpoYc,Shimmy Shimmy Ya,0cLrgpG3pW4MX4nD8h6qCc,El Michels Affair,spotify:artist:0cLrgpG3pW4MX4nD8h6qCc,7ylTeGpMy2RbFDMGSnYjX5,Enter The 37th Chamber,spotify:album:7ylTeGpMy2RbFDMGSnYjX5,Shimmy Shimmy Ya:El Michels Affair
69,10UTmRvoroe6eZ3ViwkpbN,spotify:track:10UTmRvoroe6eZ3ViwkpbN,Simply The Best,0MID3D49WKmEGfBINN0VJC,Billianne,spotify:artist:0MID3D49WKmEGfBINN0VJC,2IjiX4wNgyntlvPU9a0Yy7,Simply The Best,spotify:album:2IjiX4wNgyntlvPU9a0Yy7,Simply The Best:Billianne
70,1GL7vwDnPqCnJ2xGNxNLwG,spotify:track:1GL7vwDnPqCnJ2xGNxNLwG,These Nights,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,6VsiabIfqnY6VH8qJAJVPd,These Nights,spotify:album:6VsiabIfqnY6VH8qJAJVPd,These Nights:Loud Luxury
71,7ALEBJ8LOQqXVJ2tqnXtoH,spotify:track:7ALEBJ8LOQqXVJ2tqnXtoH,"Bitch, Don’t Kill My Vibe - Remix",2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,3DGQ1iZ9XKUQxAUWjfC34w,"good kid, m.A.A.d city (Deluxe)",spotify:album:3DGQ1iZ9XKUQxAUWjfC34w,"Bitch, Don’t Kill My Vibe - Remix:Kendrick Lamar"
72,2D1UvNIrMazmT3AkSzDA5u,spotify:track:2D1UvNIrMazmT3AkSzDA5u,Best Friends,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,4ZMj7Unmm4fJqM4bKuPbDZ,Pop Blockbusters 19,spotify:album:4ZMj7Unmm4fJqM4bKuPbDZ,Best Friends:The Weeknd
73,3W4xpnA5BVg9qduchV1mQy,spotify:track:3W4xpnA5BVg9qduchV1mQy,Pressure,3mIj9lX2MWuHmhNCA7LSCW,The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,0mkOUedmYlOzCC4tOm2v0c,The 1975 (Deluxe Version),spotify:album:0mkOUedmYlOzCC4tOm2v0c,Pressure:The 1975
74,1TGWNtFzNZsNeqT6oBvXtw,spotify:track:1TGWNtFzNZsNeqT6oBvXtw,Run - Collins Remix,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,56oIrx3voiopBk0SEm30xK,Run (Collins Remix),spotify:album:56oIrx3voiopBk0SEm30xK,Run - Collins Remix:OneRepublic
75,69BSm4vFLLo4L8nUulybMc,spotify:track:69BSm4vFLLo4L8nUulybMc,at least i'm pretty,4pvvhffb5CTrWsrTCf3tMa,Harriette,spotify:artist:4pvvhffb5CTrWsrTCf3tMa,3HA6ZaA6AZt86W0hIWFetL,at least i'm pretty,spotify:album:3HA6ZaA6AZt86W0hIWFetL,at least i'm pretty:Harriette
76,4nvVuBTpiuzjfCv95EeU41,spotify:track:4nvVuBTpiuzjfCv95EeU41,Aaj Bazaar Mein,3atMq790wQ7IqjeSO0HFeP,Bayaan,spotify:artist:3atMq790wQ7IqjeSO0HFeP,4NJ1CNuw3yogQErGJxrlHn,Aaj Bazaar Mein,spotify:album:4NJ1CNuw3yogQErGJxrlHn,Aaj Bazaar Mein:Bayaan
77,5GQBgEjXROsHqjhdGY2w3y,spotify:track:5GQBgEjXROsHqjhdGY2w3y,Leela,6gWwKC0laX7pTPjNgrwvQR,Meesha Shafi,spotify:artist:6gWwKC0laX7pTPjNgrwvQR,5f68O9YT76xVM5mz4c5Y1l,Leela,spotify:album:5f68O9YT76xVM5mz4c5Y1l,Leela:Meesha Shafi
