id,track_uri,track_name,artist_id,artist_name,artist_uri,genres_albums,key
5W3UniuRMkHHIpaiQo1hAW,spotify:track:5W3UniuRMkHHIpaiQo1hAW,Bad Intentions,63bCkf4n15jiKjHhLV7kSZ,Niykee Heaton,spotify:artist:63bCkf4n15jiKjHhLV7kSZ,"['alt z', 'dance pop', 'electropop', 'pop']",Bad Intentions:Niykee Heaton
1mRSA7bk3iEvAyKLXHL7bi,spotify:track:1mRSA7bk3iEvAyKLXHL7bi,Enta,4XL8KSBe0v3k483R9Tv49Q,DJ KABOO,spotify:artist:4XL8KSBe0v3k483R9Tv49Q,['arab trap'],Enta:DJ KABOO
3Vi5XqYrmQgOYBajMWSvCi,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Need to Know,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']",Need to Know:Doja Cat
3hmqJ4TwWgG9ewRA5scrb4,spotify:track:3hmqJ4TwWgG9ewRA5scrb4,Turiya,3zLlUTuczHTGLHdMnYNYX9,ShiShi,spotify:artist:3zLlUTuczHTGLHdMnYNYX9,['indian edm'],Turiya:ShiShi
4LL5K6RPvbQz6CTcHvEwO0,spotify:track:4LL5K6RPvbQz6CTcHvEwO0,"10,000 Miles Away",6eRJO3blsSCpd0rKc3ylc1,The Seadogs,spotify:artist:6eRJO3blsSCpd0rKc3ylc1,['shanty'],"10,000 Miles Away:The Seadogs"
1CsRoIeHaHRysPMoEaKRoQ,spotify:track:1CsRoIeHaHRysPMoEaKRoQ,Tum Mile - Lofi Flip,2GhRzK7XzixKuZYEEfUkBR,KSW,spotify:artist:2GhRzK7XzixKuZYEEfUkBR,['indian lo-fi'],Tum Mile - Lofi Flip:KSW
3m6HMeFX6GIlGPMBcLEN6t,spotify:track:3m6HMeFX6GIlGPMBcLEN6t,Grindin',6fOMl44jA4Sp5b9PpYCkzz,NF,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,"['hip hop', 'pop rap', 'rap']",Grindin':NF
18PrtmAcNMgZNy1edWuXGb,spotify:track:18PrtmAcNMgZNy1edWuXGb,A Sky Full of Stars,09AgPKJAS5Muco3pU4xh7k,Mother's Daughter,spotify:artist:09AgPKJAS5Muco3pU4xh7k,['acoustic chill'],A Sky Full of Stars:Mother's Daughter
2Gl0FzuLxflY6nPifJp5Dr,spotify:track:2Gl0FzuLxflY6nPifJp5Dr,First Time,23fqKkggKUBHNkbKtXEls4,Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']",First Time:Kygo
11BIoKDpTJHX5mZt6p566h,spotify:track:11BIoKDpTJHX5mZt6p566h,New Level (feat. Future),5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",New Level (feat. Future):A$AP Ferg
6HJxxqHWMdidwTVZmZWeHU,spotify:track:6HJxxqHWMdidwTVZmZWeHU,New Flesh,0m5FakHKCQdA7UN0PIzMcL,Current Joys,spotify:artist:0m5FakHKCQdA7UN0PIzMcL,"['indie pop', 'lo-fi indie']",New Flesh:Current Joys
1M1HJZOQsAbk3ecF3FE8kG,spotify:track:1M1HJZOQsAbk3ecF3FE8kG,Chaap Tilak,4IodA7kOT3aXLU9by0lATP,Fareed Ayaz Abu Muhammad Qawwal,spotify:artist:4IodA7kOT3aXLU9by0lATP,['qawwali'],Chaap Tilak:Fareed Ayaz Abu Muhammad Qawwal
4eNOLmx8r2IJAVKvBBL1jv,spotify:track:4eNOLmx8r2IJAVKvBBL1jv,Headshot (feat. Polo G & Fivio Foreign),6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,spotify:artist:6jGMq4yGs7aQzuGsMgVgZR,"['brooklyn drill', 'melodic rap', 'nyc rap']",Headshot (feat. Polo G & Fivio Foreign):Lil Tjay
