artist,album,track,uri
Himonshu Parikh,Katputli Ke Dhaage,Katputli Ke Dhaage,spotify:track:520NVZmA0cXVRrUUg0hOsc
Olivia Rodrigo,deja vu,deja vu,spotify:track:61KpQadow081I2AsbeLcsb
Asim Azhar,Ghalat Fehmi,"Ghalat Fehmi - From ""Superstar""",spotify:track:5mnvugwfFYnJm9zuyGkgqF
The Weeknd,After Hours,After Hours - The Blaze Remix,spotify:track:543YcSR2dHRtlqg0wJ5cFv
The Weeknd,After Hours,Too Late,spotify:track:2K9Ovn1o2bTGqbsABGC6m3
Falak Shabbir,Latest Songs Of Ayushmann Khurrana,Mera Mann Kehne Laga,spotify:track:1ai3itvPFcWilE9NX0JTCf
Russ,Are You Entertained (feat. Ed Sheeran),Are You Entertained (feat. Ed Sheeran),spotify:track:5bLGQqcpsz5ISWeihZfJnR
Amber Run,5AM (Expanded Edition),I Found,spotify:track:5zT5cMnMKoyruPj13TQXGx
Hippo Campus,Landmark,way it goes,spotify:track:75jHGZkVYcbLDlS1SQkWgz
Cage The Elephant,Tell Me I'm Pretty,Cold Cold Cold,spotify:track:1Q3t9fWvHUXKsMmpD2XpUu
Ava Max,My Head & My Heart,My Head & My Heart - Jonas Blue Remix,spotify:track:7x74XLYJqptDCmY4y3FaVh
The Neighbourhood,Chip Chrome & The Mono-Tones (Deluxe),Stargazing,spotify:track:0VF7YLIxSQKyNiFL3X6MmN
Post Malone,Hollywood's Bleeding,Circles,spotify:track:21jGcNKet2qwijlDFuPiPb
Hassan & Roshaan,Chaar Dinon Ka Khwaab,Doobne De (Reprise),spotify:track:5wCXwpUnp9Yz56dfqi4gNA
Nusrat Fateh Ali Khan,Best Urdu Qawwalies,Ankh Uthi Mohabbat Ne,spotify:track:2GR4SBWPssc9JN4C0fQKEg
Mt. Joy,Mt. Joy,Jenny Jenkins,spotify:track:7I0Ep2xYqltHpke3Kg0WPT
Marshmello,Numb,Numb,spotify:track:10xV5l9nhLvFpR8mqzs0bL
Carmen Goett,La Llorona,La Llorona,spotify:track:2TEK053VG4TNxYkIWL3NfW
Lost Frequencies,Where Are You Now,Where Are You Now,spotify:track:3uUuGVFu1V7jTQL60S1r8z
FINNEAS,Spotify Singles,Medieval - Spotify Singles,spotify:track:2WtXFUMBeHogKEMQnzQ78e
George Ezra,Staying at Tamara's,Shotgun,spotify:track:4ofwffwvvnbSkrMSCKQDaC
Khalid,American Teen,Location,spotify:track:152lZdxL1OR0ZMW6KquMif
Hasan Raheem,Darr,Darr,spotify:track:1X0EvxEOVADp4CkExIU6Dy
MEDUZA,Piece Of Your Heart,Piece Of Your Heart,spotify:track:5p1ex0pXv6jSPJ6QbumQpD
David Alexander,Crazy,Crazy,spotify:track:77QrmJAISNg6ZRGikScJlC
ABBA,Voulez-Vous,Gimme! Gimme! Gimme! (A Man After Midnight),spotify:track:7r5bS08R8d0jZuDZutVeHQ
Rozeo,Fitoor,Fitoor,spotify:track:59JAyLDknHxl9PPWwdXFqM
John Newman,Tribute,Love Me Again,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw
Jal -The Band,Aadat,Lamhay,spotify:track:2jU0vqjU22JCRXYLTcSrKs
Kina,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),spotify:track:4ZLzoOkj0MPWrTLvooIuaa
Arctic Monkeys,Live at the Royal Albert Hall,Why'd You Only Call Me When You're High? - Live,spotify:track:1VUcb7Ik5bYw0SzXBH9rLr
Joel Sunny,Love Nwantiti (Violin),Love Nwantiti (Violin),spotify:track:2XXsWvhSIBzpeQ0c3NRm7f
Ludwig van Beethoven,Beethoven Greatest Hits,"Für Elise, WoO 59",spotify:track:6MQAB3vorg90FA3tQpbYXK
twocolors,Lovefool,Lovefool,spotify:track:51Of5p3lKZeOg6itfs4og4
Panic! At The Disco,Death of a Bachelor,House of Memories,spotify:track:2DgdHcjWmO3qd50RzuBLgZ
Mohit Chauhan,Anjaana Anjaani,Tujhe Bhula Diya,spotify:track:4r8JqkhpTb5tzSKKHnVJIJ
Maanu,Yain City,Pak Sar Zameen,spotify:track:0e2Kcqlh55NN9MNqGYHOLg
Eurythmics,Sweet Dreams (Are Made Of This),Sweet Dreams (Are Made of This) - Remastered,spotify:track:1TfqLAPs4K3s2rJMoCokcS
Nusrat Fateh Ali Khan,Best 50 Sufi Qawwali Hits,Aaj Rung Hai,spotify:track:51A88LKAphHAg6o2J5dLY9
All Time Low,Blinding Lights,Blinding Lights,spotify:track:2fx0rkeRamaGtmtA5QVkuy
Neha Bhasin,Chitta Kukkad - Single,Chitta Kukkad,spotify:track:20lOkTejknlhjfhBnVzzN6
YCK,Lowkey II,Lowkey II,spotify:track:6V2hS0icfQfgC4pzKogJo4
Ritviz,Liggi,Liggi,spotify:track:4vwPirpSJCOiIsgxMV4Xcv
AURORA,All My Demons Greeting Me as a Friend,Runaway,spotify:track:0TCmhnbMpw5zwPsTvlXTJi
Dominic Fike,What Could Possibly Go Wrong,Vampire,spotify:track:0SRPuTnr5QOKRoIxMvvlgK
Hasan Raheem,Nautanki,Kaleji,spotify:track:3ZQWPz5ggiFgRPHrpQ2doQ
Glass Animals,Dreamland,Tokyo Drifting,spotify:track:4l6KwZ6QmrjK3GHFd9Cr7i
Gealdýr,Sær,Jörmungandr,spotify:track:5eekOqS9Al1WFTygqSdtRY
SEB,seaside_demo,seaside_demo,spotify:track:73M0rMVx5CWE8M4uATSsto
Tall Heights,Neptune,Spirit Cold,spotify:track:1vG6jMgSoqT3zG9tuDrL2E
Sabrina Claudio,About Time,Belong to You (feat. 6LACK),spotify:track:2I88NEWpKrAPZuapXNV5G6
The Raconteurs,Broken Boy Soldiers,Broken Boy Soldier,spotify:track:3sHbegiNDtJ24gAxthAvbO
The Fray,Helios,Love Don't Die,spotify:track:6IDDwI0YOCAUDhMZltQekS
Hozier,Hozier (Expanded Edition),Cherry Wine - Live,spotify:track:1C042FLYy7rP3MfnkOcnha
remy,a little bit won't kill you but a lot of it sure will,a little bit won't kill you but a lot of it sure will,spotify:track:0BYH5Od9fvSFPvpIhD3DlU
dhruv,rapunzel,moonlight,spotify:track:2Qn6WHJrY5Im82Jux8FboH
Abi Sampa,Rang,Rang,spotify:track:6IDdsMYRvj3ljsP7jj9wlK
flora cash,"Baby, It's Okay",You're Somebody Else,spotify:track:6iWEhoALoBFnQMNVhYY0Sc
Prateek Kuhad,cold/mess,cold/mess,spotify:track:7uhINGViZPygI2AljxO8KN
"Earth, Wind & Fire",Raise!,Let's Groove,spotify:track:3koCCeSaVUyrRo3N2gHrd8
Johnny Cash,American V: A Hundred Highways,God's Gonna Cut You Down,spotify:track:6RFkVsPmrM4pzlDkFswwJl
Abida Parveen,Ishq Mastana,Main Nara-a-mastana,spotify:track:49iFkcYxjhgp0rUjSp55Hx
Ava Max,Freaking Me Out,Freaking Me Out,spotify:track:7uYIX9O9DY6l1D3HiwHR1J
